account_id,customer_id,account_type,account_status,open_date,currency_code,balance
ACCT200090,CUST100764,Checking,Active,2024-06-23,USD,5847.45
ACCT200091,CUST100785,Savings,Active,2022-03-17,USD,6893.36
ACCT200092,CUST101906,Savings,Closed,2025-11-26,USD,45958.05
ACCT200093,CUST100644,Savings,Active,2023-01-15,USD,7014.83
ACCT200094,CUST100992,Credit Card,Active,2022-01-09,USD,-96.32
ACCT200095,CUST101013,Money Market,Active,2026-01-13,USD,25271.9
ACCT200096,CUST100342,Savings,Active,2021-11-16,USD,22192.59
ACCT200097,CUST100562,Credit Card,Active,2026-04-02,USD,-1415.82
ACCT200098,CUST101582,Credit Card,Active,2025-01-26,USD,-868.7
ACCT200099,CUST101587,Checking,Active,2022-07-09,CAD,5710.33
ACCT200100,CUST101556,Savings,Active,2025-05-24,USD,37839.31
ACCT200101,CUST101699,Money Market,Active,2025-12-01,USD,5120.82
ACCT200102,CUST100538,Credit Card,Active,2021-07-27,USD,-1935.54
ACCT200103,CUST101588,Savings,Active,2026-01-11,USD,49697.88
ACCT200104,CUST101763,Savings,Active,2025-10-04,USD,34456.68
ACCT200105,CUST100423,Checking,Active,2022-06-30,USD,6961.75
ACCT200106,CUST101222,Savings,Active,2023-04-02,USD,26614.04
ACCT200107,CUST100547,Savings,Closed,2024-06-11,USD,14466.66
ACCT200108,CUST100277,Money Market,Closed,2023-06-16,USD,40759.05
ACCT200109,CUST101775,Money Market,Active,2025-12-17,USD,49624.31
ACCT200110,CUST100659,Checking,Active,2024-02-29,USD,7312.17
ACCT200111,CUST101182,Savings,Active,2025-04-25,USD,24472.94
ACCT200112,CUST101627,Checking,Dormant,2023-03-22,USD,3775.81
ACCT200113,CUST101917,Savings,Dormant,2022-10-28,USD,13911.28
ACCT200114,CUST101779,Savings,Active,2023-10-22,USD,29097.78
ACCT200115,CUST101360,Savings,Active,2022-11-14,EUR,22922.46
ACCT200116,CUST101982,Credit Card,Active,2022-01-21,USD,-1204.57
ACCT200117,CUST100691,Checking,Active,2024-08-06,USD,41417.18
ACCT200118,CUST101831,Credit Card,Active,2025-07-02,USD,-423.39
ACCT200119,CUST100941,Checking,Active,2022-01-20,GBP,39194.49
ACCT200120,CUST101962,Checking,Active,2023-06-14,CAD,22825.91
ACCT200121,CUST100618,Money Market,Active,2025-03-20,GBP,44107.39
ACCT200122,CUST100512,Checking,Active,2024-08-24,USD,32729.4
ACCT200123,CUST101281,Savings,Active,2026-05-22,USD,2589.36
ACCT200124,CUST101441,Checking,Active,2024-09-25,USD,32774.26
ACCT200125,CUST101063,Checking,Active,2026-06-28,USD,29683.97
ACCT200126,CUST101761,Savings,Active,2023-02-21,USD,40855.45
ACCT200127,CUST101496,Checking,Active,2024-03-28,USD,19153.5
ACCT200128,CUST100783,Checking,Active,2025-08-14,USD,14962.77
ACCT200129,CUST100292,Checking,Active,2021-10-08,USD,49647.01
ACCT200130,CUST100719,Savings,Active,2025-09-28,USD,8205.83
ACCT200131,CUST101406,Checking,Active,2023-02-21,USD,20585.49
ACCT200132,CUST100252,Credit Card,Active,2025-08-18,USD,-1719.97
ACCT200133,CUST100286,Money Market,Active,2026-06-12,USD,15725.18
ACCT200134,CUST101476,Checking,Active,2022-11-21,USD,30049.95
ACCT200135,CUST101348,Savings,Dormant,2021-07-26,USD,42394.61
ACCT200136,CUST100802,Savings,Active,2023-10-12,USD,9432.33
ACCT200137,CUST101013,Credit Card,Active,2025-03-19,USD,-90.66
ACCT200138,CUST101820,Savings,Closed,2026-06-14,CAD,3550.6
ACCT200139,CUST101762,Money Market,Active,2026-02-16,USD,6599.14
ACCT200140,CUST100964,Savings,Closed,2022-03-01,USD,8638.52
ACCT200141,CUST100536,Checking,Active,2022-02-21,GBP,3376.63
ACCT200142,CUST100586,Money Market,Active,2025-04-10,USD,19898.75
ACCT200143,CUST100168,Savings,Active,2022-10-09,USD,35090.53
ACCT200144,CUST100161,Checking,Active,2022-04-13,USD,4179.85
ACCT200145,CUST100800,Credit Card,Active,2023-06-29,USD,-927.22
ACCT200146,CUST100635,Savings,Active,2025-08-20,USD,32157.73
ACCT200147,CUST100176,Credit Card,Dormant,2021-12-27,USD,-1884.19
ACCT200148,CUST101364,Savings,Active,2023-02-03,USD,2751.43
ACCT200149,CUST101436,Checking,Active,2025-03-21,USD,35395.03
ACCT200150,CUST101684,Checking,Active,2022-02-27,USD,25861.14
ACCT200151,CUST100550,Checking,Active,2024-10-22,USD,39056.2
ACCT200152,CUST100879,Credit Card,Active,2025-09-17,USD,-1329.98
ACCT200153,CUST100157,Savings,Active,2022-05-03,USD,28832.58
ACCT200154,CUST100341,Checking,Active,2024-11-01,USD,42967.99
ACCT200155,CUST101480,Checking,Active,2025-08-04,USD,28695.62
ACCT200156,CUST100025,Checking,Active,2023-02-03,USD,42934.45
ACCT200157,CUST101907,Checking,Closed,2025-10-13,USD,7504.23
ACCT200158,CUST101342,Credit Card,Active,2022-01-03,USD,-571.96
ACCT200159,CUST100555,Savings,Active,2022-11-02,USD,36014.4
ACCT200160,CUST100107,Checking,Active,2022-10-14,USD,33666.29
ACCT200161,CUST100141,Money Market,Dormant,2024-01-15,EUR,47703.97
ACCT200162,CUST100176,Credit Card,Active,2022-03-24,USD,-1378.6
ACCT200163,CUST100622,Checking,Active,2021-11-15,USD,28190.34
ACCT200164,CUST101582,Checking,Active,2022-12-17,USD,48592.89
ACCT200165,CUST100308,Savings,Active,2025-02-08,USD,39798.68
ACCT200166,CUST101719,Checking,Active,2022-12-06,USD,17321.18
ACCT200167,CUST100770,Checking,Active,2022-05-20,USD,37946.46
ACCT200168,CUST100487,Checking,Active,2021-09-10,CAD,26490.72
ACCT200169,CUST100573,Money Market,Active,2026-02-05,GBP,7118.67
ACCT200170,CUST101435,Credit Card,Dormant,2023-04-23,USD,-960.48
ACCT200171,CUST101035,Savings,Active,2021-08-31,USD,29038.53
ACCT200172,CUST100890,Checking,Active,2026-03-24,USD,28391.04
ACCT200173,CUST101896,Checking,Active,2023-04-23,USD,42545.69
ACCT200174,CUST100556,Savings,Active,2023-02-20,GBP,15902.89
ACCT200175,CUST100223,Checking,Active,2021-09-17,USD,38507.33
ACCT200176,CUST101097,Savings,Active,2026-06-22,USD,20325.63
ACCT200177,CUST101745,Savings,Active,2022-04-16,USD,23167.33
ACCT200178,CUST101427,Savings,Active,2024-02-19,USD,41319.33
ACCT200179,CUST101456,Credit Card,Active,2023-06-24,USD,-1703.35
ACCT200180,CUST100532,Savings,Active,2022-08-04,USD,33859.17
ACCT200181,CUST101138,Money Market,Active,2026-06-18,USD,42730.07
ACCT200182,CUST100286,Savings,Active,2023-07-29,USD,40194.84
ACCT200183,CUST100405,Credit Card,Active,2026-02-10,USD,-1555.42
ACCT200184,CUST101192,Savings,Active,2023-09-21,GBP,32234.25
ACCT200185,CUST100404,Checking,Dormant,2022-02-12,USD,49858.07
ACCT200186,CUST101698,Checking,Active,2024-05-09,USD,45253.9
ACCT200187,CUST101892,Money Market,Active,2023-08-30,USD,2531.89
ACCT200188,CUST101399,Checking,Active,2022-04-27,USD,1474.11
ACCT200189,CUST100913,Money Market,Dormant,2022-02-18,USD,13749.09
ACCT200190,CUST100604,Savings,Active,2025-12-10,EUR,12289.24
ACCT200191,CUST100784,Savings,Active,2022-12-23,USD,4386.08
ACCT200192,CUST101291,Credit Card,Closed,2023-07-04,USD,-948.37
ACCT200193,CUST101460,Checking,Active,2022-01-03,USD,19124.9
ACCT200194,CUST101028,Savings,Active,2025-08-25,USD,45633.85
ACCT200195,CUST100060,Checking,Dormant,2023-07-09,USD,29855.82
ACCT200196,CUST101084,Checking,Active,2022-03-25,USD,49576.57
ACCT200197,CUST100507,Checking,Active,2023-07-06,USD,7981.24
ACCT200198,CUST100114,Credit Card,Active,2025-06-27,GBP,-165.48
ACCT200199,CUST100795,Savings,Active,2022-10-07,USD,49133.23
ACCT200200,CUST101213,Credit Card,Active,2026-05-20,USD,-1647.8
ACCT200201,CUST101440,Checking,Active,2026-02-25,GBP,29578.12
ACCT200202,CUST100385,Savings,Active,2025-12-20,USD,28155.44
ACCT200203,CUST100359,Money Market,Active,2025-07-26,USD,27106.23
ACCT200204,CUST101078,Checking,Active,2023-01-29,USD,10940.45
ACCT200205,CUST100697,Savings,Active,2026-01-19,GBP,40322.27
ACCT200206,CUST100044,Credit Card,Active,2025-05-20,USD,-1352.82
ACCT200207,CUST101077,Checking,Dormant,2025-06-23,CAD,5546.03
ACCT200208,CUST100810,Checking,Active,2022-03-04,USD,47096.16
ACCT200209,CUST101499,Checking,Dormant,2023-05-05,USD,48793.03
ACCT200210,CUST100356,Money Market,Active,2021-11-24,USD,32459.01
ACCT200211,CUST100730,Credit Card,Active,2024-02-16,USD,-772.58
ACCT200212,CUST101410,Checking,Active,2022-10-01,USD,15341.16
ACCT200213,CUST101173,Checking,Active,2023-07-13,CAD,35100.42
ACCT200214,CUST101233,Money Market,Active,2025-11-13,USD,1619.14
ACCT200215,CUST100213,Savings,Dormant,2025-07-17,USD,31982.34
ACCT200216,CUST100654,Savings,Active,2024-12-12,EUR,11899.8
ACCT200217,CUST101308,Checking,Active,2025-11-03,USD,35448.29
ACCT200218,CUST101419,Checking,Active,2021-09-28,USD,10484.21
ACCT200219,CUST100790,Checking,Active,2026-07-20,USD,64.06
ACCT200220,CUST101805,Checking,Active,2021-08-11,USD,20700.96
ACCT200221,CUST101769,Checking,Active,2021-09-02,USD,23974.46
ACCT200222,CUST101636,Checking,Active,2025-09-02,USD,22564.37
ACCT200223,CUST100151,Checking,Active,2025-06-15,EUR,47583.11
ACCT200224,CUST101928,Checking,Dormant,2025-03-08,USD,3750.12
ACCT200225,CUST100988,Savings,Active,2023-12-13,USD,30682.24
ACCT200226,CUST100889,Savings,Active,2022-11-21,USD,30365.88
ACCT200227,CUST101427,Checking,Active,2025-06-20,GBP,9499.21
ACCT200228,CUST100609,Savings,Active,2025-06-09,USD,33029.89
ACCT200229,CUST100314,Savings,Active,2021-11-05,USD,41992.73
ACCT200230,CUST101280,Checking,Active,2025-06-27,USD,41194.87
ACCT200231,CUST100597,Checking,Closed,2026-01-22,USD,8541.61
ACCT200232,CUST100964,Checking,Active,2024-09-07,USD,39243.83
ACCT200233,CUST100378,Checking,Active,2022-10-27,USD,27206.3
ACCT200234,CUST100900,Checking,Active,2024-09-22,USD,2230.85
ACCT200235,CUST101540,Checking,Active,2023-08-23,USD,3081.97
ACCT200236,CUST100847,Savings,Closed,2026-07-18,USD,40409.01
ACCT200237,CUST101676,Savings,Active,2022-02-09,CAD,42039.86
ACCT200238,CUST101172,Savings,Dormant,2023-02-25,USD,46818.07
ACCT200239,CUST101462,Checking,Active,2026-01-02,USD,45138.86
ACCT200240,CUST101270,Savings,Active,2024-04-18,GBP,28574.27
ACCT200241,CUST100342,Savings,Closed,2024-03-05,USD,47453.07
ACCT200242,CUST101399,Checking,Active,2022-02-17,CAD,21168.74
ACCT200243,CUST100528,Savings,Active,2023-06-22,USD,41705.41
ACCT200244,CUST101139,Credit Card,Active,2022-08-05,USD,-1825.95
ACCT200245,CUST101788,Checking,Active,2025-06-20,USD,22907.86
ACCT200246,CUST100230,Savings,Active,2023-10-10,USD,39084.28
ACCT200247,CUST101924,Savings,Active,2023-09-06,USD,37918.87
ACCT200248,CUST101776,Credit Card,Active,2026-02-13,USD,-428.51
ACCT200249,CUST100994,Savings,Active,2024-05-27,USD,19152.17
ACCT200250,CUST101266,Checking,Active,2022-08-02,USD,20148.7
ACCT200251,CUST100678,Checking,Active,2026-07-04,USD,44478.71
ACCT200252,CUST100762,Savings,Active,2024-08-08,USD,13429.22
ACCT200253,CUST101006,Checking,Dormant,2023-09-14,USD,14017.33
ACCT200254,CUST100615,Money Market,Closed,2023-12-11,USD,11397.87
ACCT200255,CUST100853,Credit Card,Active,2023-01-01,USD,-1461.16
ACCT200256,CUST100833,Savings,Active,2023-06-13,USD,45671.64
ACCT200257,CUST101055,Credit Card,Active,2023-04-19,USD,-357.97
ACCT200258,CUST101598,Savings,Dormant,2023-10-07,EUR,20169.26
ACCT200259,CUST101705,Checking,Active,2023-09-22,USD,9638.17
ACCT200260,CUST100738,Checking,Active,2021-11-26,USD,2527.96
ACCT200261,CUST101301,Credit Card,Dormant,2023-01-16,USD,-989.75
ACCT200262,CUST100913,Checking,Active,2024-09-21,EUR,24439.34
ACCT200263,CUST100334,Savings,Active,2026-04-14,USD,17488.0
ACCT200264,CUST100056,Credit Card,Active,2025-11-09,USD,-1819.22
ACCT200265,CUST101755,Savings,Active,2024-08-20,USD,48245.88
ACCT200266,CUST101051,Checking,Active,2024-05-15,USD,32579.37
ACCT200267,CUST101866,Credit Card,Active,2022-02-03,USD,-1982.2
ACCT200268,CUST101245,Credit Card,Active,2021-08-18,USD,-1552.46
ACCT200269,CUST100867,Money Market,Dormant,2026-01-08,EUR,32137.02
ACCT200270,CUST100618,Savings,Active,2026-01-07,USD,10910.45
ACCT200271,CUST101047,Checking,Closed,2022-11-05,CAD,5115.61
ACCT200272,CUST101216,Credit Card,Active,2022-06-07,USD,-877.09
ACCT200273,CUST100566,Checking,Active,2025-04-29,EUR,3191.85
ACCT200274,CUST101827,Checking,Active,2022-05-15,USD,35554.69
ACCT200275,CUST100116,Savings,Active,2021-07-25,USD,12015.1
ACCT200276,CUST101394,Savings,Active,2026-01-01,USD,33026.52
ACCT200277,CUST101857,Savings,Active,2025-05-28,USD,14780.23
ACCT200278,CUST101171,Checking,Active,2023-11-17,USD,35403.45
ACCT200279,CUST101307,Savings,Active,2026-02-08,GBP,34315.91
ACCT200280,CUST101731,Savings,Active,2024-04-26,USD,25365.74
ACCT200281,CUST100964,Savings,Active,2023-08-16,USD,14689.2
ACCT200282,CUST100374,Credit Card,Dormant,2022-03-27,EUR,-474.16
ACCT200283,CUST100457,Savings,Active,2024-06-09,USD,11112.68
ACCT200284,CUST100533,Credit Card,Active,2025-03-28,USD,-1337.37
ACCT200285,CUST101299,Checking,Active,2023-12-30,GBP,2683.85
ACCT200286,CUST101024,Checking,Active,2024-12-05,USD,44471.3
ACCT200287,CUST101783,Savings,Dormant,2021-08-24,USD,20655.36
ACCT200288,CUST101166,Checking,Dormant,2026-04-23,CAD,20459.59
ACCT200289,CUST100369,Checking,Active,2025-05-14,USD,43119.7
ACCT200290,CUST101299,Savings,Active,2022-09-12,USD,8841.21
ACCT200291,CUST101180,Checking,Active,2024-06-07,USD,38677.11
ACCT200292,CUST101258,Credit Card,Active,2023-09-08,USD,-1823.92
ACCT200293,CUST100009,Savings,Active,2025-10-19,USD,23870.01
ACCT200294,CUST100659,Checking,Active,2025-10-08,USD,703.86
ACCT200295,CUST101502,Checking,Active,2025-10-16,USD,206.19
ACCT200296,CUST100785,Checking,Active,2024-05-13,USD,6446.54
ACCT200297,CUST101942,Checking,Active,2023-07-24,USD,2285.92
ACCT200298,CUST101818,Savings,Active,2025-11-25,USD,16891.76
ACCT200299,CUST101536,Money Market,Active,2026-03-16,GBP,24508.93
ACCT200300,CUST100467,Money Market,Active,2022-07-23,CAD,20169.58
ACCT200301,CUST101033,Checking,Active,2025-05-18,USD,1095.66
ACCT200302,CUST101795,Savings,Active,2025-04-02,USD,1868.17
ACCT200303,CUST100098,Savings,Active,2026-02-13,USD,29696.2
ACCT200304,CUST100853,Checking,Active,2023-06-19,USD,34487.49
ACCT200305,CUST100420,Checking,Active,2024-09-08,USD,35093.41
ACCT200306,CUST101356,Checking,Active,2023-03-02,USD,33083.23
ACCT200307,CUST101840,Savings,Active,2022-08-26,USD,20941.29
ACCT200308,CUST100217,Checking,Active,2023-11-23,USD,5700.63
ACCT200309,CUST101992,Credit Card,Active,2025-07-25,USD,-337.0
ACCT200310,CUST101016,Checking,Dormant,2026-01-04,USD,1970.29
ACCT200311,CUST100026,Savings,Active,2022-03-25,GBP,11725.26
ACCT200312,CUST100305,Credit Card,Dormant,2022-07-03,USD,-661.96
ACCT200313,CUST101852,Checking,Active,2021-08-25,USD,36178.81
ACCT200314,CUST100950,Money Market,Active,2022-07-23,USD,14801.11
ACCT200315,CUST100737,Credit Card,Active,2025-03-09,USD,-295.5
ACCT200316,CUST101552,Savings,Dormant,2022-11-02,USD,4749.92
ACCT200317,CUST100673,Checking,Active,2022-07-10,USD,32359.93
ACCT200318,CUST100190,Savings,Active,2025-12-23,USD,43923.78
ACCT200319,CUST100934,Checking,Active,2026-05-24,USD,20012.51
ACCT200320,CUST101328,Credit Card,Dormant,2025-08-21,USD,-400.2
ACCT200321,CUST101930,Checking,Active,2023-09-22,USD,36320.56
ACCT200322,CUST101165,Money Market,Active,2023-12-23,USD,24133.74
ACCT200323,CUST100059,Checking,Dormant,2025-02-19,EUR,17929.95
ACCT200324,CUST100989,Savings,Dormant,2026-06-28,USD,44588.14
ACCT200325,CUST100535,Savings,Active,2023-04-08,USD,2298.62
ACCT200326,CUST101522,Credit Card,Active,2022-04-26,USD,-950.36
ACCT200327,CUST100692,Money Market,Active,2025-02-11,USD,33492.22
ACCT200328,CUST101488,Savings,Active,2026-04-25,USD,21642.4
ACCT200329,CUST101718,Savings,Active,2022-04-23,EUR,19243.83
ACCT200330,CUST101913,Savings,Active,2024-06-26,USD,582.24
ACCT200331,CUST100153,Credit Card,Active,2022-03-05,USD,-261.17
ACCT200332,CUST101038,Checking,Active,2024-11-08,USD,13907.86
ACCT200333,CUST100940,Savings,Active,2023-12-31,USD,11750.0
ACCT200334,CUST100647,Checking,Active,2022-07-12,USD,24922.81
ACCT200335,CUST100844,Savings,Active,2021-09-17,USD,5132.17
ACCT200336,CUST101972,Credit Card,Active,2025-10-01,USD,-416.43
ACCT200337,CUST101375,Savings,Active,2021-12-14,USD,10342.56
ACCT200338,CUST101729,Credit Card,Active,2023-11-09,USD,-366.82
ACCT200339,CUST101345,Savings,Active,2023-12-02,USD,23656.68
ACCT200340,CUST100004,Checking,Active,2024-06-15,USD,32945.51
ACCT200341,CUST101069,Money Market,Active,2022-07-16,USD,14599.18
ACCT200342,CUST101683,Credit Card,Active,2024-10-03,USD,-1015.16
ACCT200343,CUST100384,Checking,Active,2024-01-03,EUR,30542.59
ACCT200344,CUST100390,Checking,Active,2026-06-14,USD,41227.71
ACCT200345,CUST101715,Savings,Active,2023-02-02,USD,46331.33
ACCT200346,CUST101206,Credit Card,Closed,2023-08-01,USD,-1085.22
ACCT200347,CUST100099,Savings,Active,2021-10-06,USD,26518.22
ACCT200348,CUST101599,Savings,Dormant,2024-10-14,USD,46218.54
ACCT200349,CUST100262,Savings,Active,2025-03-04,USD,36524.73
ACCT200350,CUST101805,Savings,Active,2022-02-08,CAD,16092.19
ACCT200351,CUST100560,Money Market,Active,2021-09-01,USD,38118.73
ACCT200352,CUST100282,Checking,Active,2022-07-12,USD,40239.84
ACCT200353,CUST101436,Savings,Active,2025-08-16,USD,14945.66
ACCT200354,CUST100445,Savings,Active,2023-11-12,USD,27679.08
ACCT200355,CUST101377,Checking,Active,2025-12-15,USD,17264.68
ACCT200356,CUST101111,Money Market,Active,2024-01-18,USD,8890.63
ACCT200357,CUST100983,Checking,Active,2022-12-12,GBP,17611.89
ACCT200358,CUST101830,Savings,Active,2024-04-10,USD,33712.17
ACCT200359,CUST101070,Credit Card,Active,2022-12-04,USD,-383.39
ACCT200360,CUST100546,Checking,Active,2023-11-02,USD,2830.24
ACCT200361,CUST101719,Checking,Active,2025-01-12,USD,12528.05
ACCT200362,CUST100734,Checking,Active,2025-07-01,USD,27058.6
ACCT200363,CUST101771,Credit Card,Active,2022-07-26,USD,-521.02
ACCT200364,CUST101631,Checking,Active,2023-05-29,USD,25546.12
ACCT200365,CUST100793,Savings,Active,2022-01-30,USD,46324.24
ACCT200366,CUST100110,Savings,Active,2024-10-22,USD,48291.66
ACCT200367,CUST101782,Savings,Active,2024-01-28,USD,39046.24
ACCT200368,CUST100753,Savings,Active,2025-09-12,USD,35477.27
ACCT200369,CUST101974,Savings,Active,2023-03-30,USD,38807.34
ACCT200370,CUST101971,Money Market,Active,2026-06-27,USD,3723.45
ACCT200371,CUST101139,Checking,Active,2021-10-05,USD,21425.39
ACCT200372,CUST100955,Credit Card,Active,2026-01-19,USD,-1988.71
ACCT200373,CUST100104,Checking,Active,2025-08-18,USD,16131.5
ACCT200374,CUST101617,Credit Card,Active,2024-07-20,USD,-1397.69
ACCT200375,CUST100450,Credit Card,Closed,2023-03-11,USD,-1364.28
ACCT200376,CUST101112,Credit Card,Active,2024-06-11,USD,-1681.26
ACCT200377,CUST100679,Checking,Active,2026-02-02,USD,10667.69
ACCT200378,CUST100972,Money Market,Closed,2026-05-08,USD,30914.03
ACCT200379,CUST101369,Money Market,Active,2026-04-25,USD,440.18
ACCT200380,CUST100499,Savings,Closed,2023-04-15,USD,45930.36
ACCT200381,CUST101935,Checking,Active,2022-12-05,USD,45796.62
ACCT200382,CUST101058,Savings,Active,2023-11-16,USD,1235.29
ACCT200383,CUST100089,Credit Card,Active,2023-04-29,USD,-1108.89
ACCT200384,CUST100196,Checking,Active,2024-05-09,CAD,4117.27
ACCT200385,CUST100134,Savings,Active,2024-08-16,USD,366.53
ACCT200386,CUST101711,Checking,Active,2022-07-08,USD,34270.26
ACCT200387,CUST101587,Savings,Active,2023-07-23,USD,48811.2
ACCT200388,CUST100048,Checking,Active,2023-03-05,USD,34302.18
